,geolocation_zip_code_prefix,latitude,longitude
167158,1526,-23.56690212960936,-46.6300592031566
167170,1509,-23.567590529834398,-46.63545150721337
167177,1504,-23.56375858312654,-46.63899210115993
167200,1536,-23.56253963239443,-46.622343972359054
167207,1535,-23.569618023313524,-46.62490078227243
167235,1511,-23.555682314184303,-46.63309991286275
167245,1534,-23.56284740383172,-46.62391126354653
167253,1514,-23.55306435468261,-46.62768625580495
167256,1529,-23.569353157366287,-46.63690014002537
167267,1539,-23.573782561198005,-46.62058066708981
167271,1532,-23.572060847625384,-46.636136837497816
167287,1542,-23.57081105190717,-46.62114560866177
167295,1548,-23.578346556754592,-46.614710870390624
167313,1543,-23.575755845951942,-46.62009625506377
167324,1544,-23.576922503462445,-46.622911919095145
167343,1546,-23.576252951151247,-46.62235967583239
167348,1523,-23.56366379462169,-46.61929091188178
167367,1506,-23.56180273327946,-46.63479182904371
167372,1518,-23.558930444630374,-46.62292373757862
167378,1510,-23.55619865667379,-46.63344748251487
167380,1537,-23.569022776299825,-46.62199066665712
167395,1531,-23.570124170696488,-46.63265515860704
167399,1549,-23.57732126894224,-46.61708484846209
167411,1533,-23.57219854010617,-46.63913109824576
167429,1525,-23.567008903139214,-46.63752874701368
167449,1520,-23.559238666108847,-46.61831887996994
167470,1550,-23.57203616319466,-46.61521226741304
167471,1503,-23.555488240827945,-46.63559923847351
167477,1541,-23.568722298084143,-46.61880092397124
167482,1545,-23.581373061053768,-46.6178758329102
167484,1522,-23.55916467499565,-46.61546691825843
167487,1508,-23.56014607245072,-46.633346125858445
167508,1519,-23.56007528864907,-46.62182990175425
167521,1547,-23.58202355453289,-46.62322245045877
167567,1538,-23.573205,-46.62290025
167577,1501,-23.5519314837556,-46.63569089731083
167580,1521,-23.56012381877193,-46.62080822384439
167607,1530,-23.586145389375964,-46.72796029067322
167650,1505,-23.555396514570944,-46.6328610313636
167671,1502,-23.55498324839867,-46.63569905288812
167672,1551,-23.576649380518187,-46.61216232569684
167757,1540,-23.56461420122337,-46.62049830030583
167975,1528,-23.563268623088483,-46.62567806771887
168001,1513,-23.556895554532897,-46.63100370483005
168002,1527,-23.563144561198005,-46.62658014155458
168046,1524,-23.5670455434244,-46.61611199999999
168148,1507,-23.558197452680457,-46.63164907507647
168178,1512,-23.553644898695826,-46.63261889578163
168238,1552,-23.573835900917526,-46.61101337290079
168714,1516,-23.55948466195392,-46.61446206064973
170180,1517,-23.560247933666105,-46.624831454209655
190672,2019,-23.498262,-46.62855053996195
190674,2067,-23.505895624473467,-46.60638997293555
190678,2020,-23.499083916977654,-46.63226647191997
190684,2075,-23.502028505135893,-46.60034967291817
190692,2012,-23.50836123028566,-46.62752418968636
190696,2076,-23.50692178074323,-46.5989496135092
190697,2035,-23.500395,-46.62233251442673
190705,2034,-23.50412273877685,-46.6246075311652
190706,2022,-23.50623786745398,-46.64043238758518
190724,2021,-23.499439994171624,-46.63380353274858
190748,2080,-23.49781772078598,-46.60657423175024
190749,2066,-23.508759080212357,-46.602973042876144
190756,2064,-23.519807581453097,-46.5960457342604
190763,2029,-23.510936587354013,-46.62008933890293
190785,2060,-23.51886128198398,-46.60382280391252
190792,2054,-23.51636255037796,-46.60569249861501
190795,2072,-23.500810509290837,-46.60427196058632
190801,2017,-23.501381250870143,-46.639206505591815
190817,2018,-23.493511048012017,-46.63106708174157
190825,2043,-23.490223040798668,-46.61732558589649
190831,2074,-23.509075809596663,-46.59346383582438
190853,2038,-23.49857049347913,-46.6233534590571
190880,2016,-23.50097763469062,-46.62712333406575
190905,2040,-23.489022991949916,-46.62186690299499
190918,2056,-23.510640635581964,-46.6040934060534
190945,2051,-23.51226773910784,-46.60874803052688
190959,2041,-23.49010232139766,-46.61972998972821
190961,2039,-23.49231066388715,-46.6205286217035
190979,2082,-23.49467072799935,-46.609653122396
191011,2033,-23.50215379349651,-46.61688101249347
191045,2013,-23.5030857485429,-46.63382294171621
191076,2079,-23.50036682653355,-46.60264059824574
191079,2037,-23.499986521784315,-46.618730413266775
191085,2083,-23.49552085567545,-46.599274267557256
191177,2071,-23.50313753733621,-46.609684480437394
191206,2078,-23.502460609498485,-46.59374588980903
191209,2044,-23.49568082347514,-46.61894670690752
191226,2084,-23.495675029141907,-46.59947756924808
191289,2055,-23.512952943937883,-46.6083024672514
191294,2042,-23.48802239938832,-46.61900150236592
191356,2045,-23.494406023962647,-46.617320553160994
191520,2036,-23.50210750375091,-46.62196127699232
191582,2046,-23.48774784542202,-46.61152878400604
191613,2010,-23.514929559813023,-46.62640583152521
191647,2081,-23.49664721787179,-46.6050361851232
191762,2050,-23.51654350320264,-46.61056315903973
191775,2052,-23.509466926452752,-46.606867502077456
191776,2031,-23.51506899745697,-46.6253165150725
192186,2077,-23.501001111575956,-46.59626327601136
192254,2011,-23.50190277027253,-46.626229169812845
193951,2053,-23.510427444341925,-46.60117949988444
205596,2150,-23.495750203445063,-46.56850788842403
205597,2133,-23.500291464048765,-46.585615159039705
205599,2167,-23.522903946448046,-46.58180409758191
205602,2130,-23.508100938657773,-46.58282425353455
205607,2188,-23.507509473772288,-46.56565713558197
205608,2152,-23.498158714409342,-46.573211734116185
205614,2138,-23.49565160199666,-46.57582722508515
205619,2134,-23.499318080212344,-46.578124372468125
205623,2176,-23.51226784347044,-46.5737047327312
205624,2117,-23.52019456333894,-46.593538927981854
205626,2119,-23.513593871775623,-46.59299115736628
205628,2131,-23.50281070858096,-46.581761933117846
205635,2124,-23.50636475575626,-46.58066375575627
205637,2129,-23.50521569969416,-46.58945986733221
205645,2132,-23.49833145406544,-46.58041450069248
205648,2110,-23.52188843014645,-46.59374225679054
205649,2135,-23.498807971146547,-46.573631134485446
205661,2127,-23.50238052178431,-46.582730947544576
205664,2178,-23.519838404668437,-46.57027290507246
205671,2177,-23.511112774078125,-46.56976216763806
205676,2120,-23.510416629107844,-46.594217747359366
205687,2161,-23.491262189566605,-46.57078597807146
205691,2112,-23.512668178041054,-46.58665534166385
205705,2126,-23.506858079375625,-46.59162343505108
205714,2169,-23.51932718168024,-46.57580722635043
205733,2123,-23.510773697472448,-46.57804828074323
205734,2189,-23.507621497085808,-46.56616243450284
205739,2128,-23.50399490536093,-46.5946382411853
205752,2179,-23.51950161226844,-46.567310496104845
205757,2136,-23.4982544454671,-46.57847265889549
205768,2174,-23.523062564007805,-46.57189679679223
205769,2186,-23.51335483236194,-46.56877347114656
205783,2137,-23.50176923397196,-46.57187320760001
205799,2185,-23.512283612268444,-46.56782303996194
205808,2181,-23.52093290536093,-46.56270976672054
205812,2180,-23.51997318512321,-46.5659400380287
205839,2111,-23.515789212043405,-46.59197639370417
205961,2187,-23.515125715794323,-46.56489950138496
205962,2121,-23.51181353788448,-46.58921527477062
205964,2190,-23.5099120335853,-46.56318688703905
205976,2139,-23.494134939494487,-46.57343969969415
205983,2143,-23.50799229892086,-46.57521706910386
206002,2122,-23.513172191788303,-46.58263962184772
206023,2115,-23.526499508561297,-46.59188593503609
206024,2118,-23.51661167998731,-46.59476458159733
206046,2125,-23.507957137111184,-46.58846138051819
206081,2113,-23.51528796497884,-46.58734465236856
206235,2141,-23.489125655104345,-46.57563101727822
206255,2166,-23.525060091869104,-46.583738219401
206316,2175,-23.516718741284578,-46.57445726194335
206392,2168,-23.520174883432382,-46.57883175284207
210830,2251,-23.479894623925205,-46.595511282820695
210834,2256,-23.476069676380632,-46.5875753993883
210837,2246,-23.49191347960067,-46.60200386081135
210839,2223,-23.47872104025041,-46.58108916028048
210846,2225,-23.480339500692484,-46.57586314071786
210851,2204,-23.483740588954927,-46.5898570932541
210855,2235,-23.479438693865774,-46.5790147857349
210860,2245,-23.48347746211553,-46.60599175145708
210867,2243,-23.49083843519532,-46.5983578447112
210878,2208,-23.48101574715792,-46.58546644517863
210879,2222,-23.48463030030584,-46.57788816694557
210882,2232,-23.476190144324534,-46.56109123841534
210883,2203,-23.491692314184306,-46.59024532431184
210886,2250,-23.486549521784305,-46.59469228282069
210889,2238,-23.47019809031553,-46.56484109288583
210899,2261,-23.46735986594724,-46.57715992131685
210904,2267,-23.47643279877663,-46.598178216486815
210910,2270,-23.472793571469776,-46.59464741395925
210916,2227,-23.483253583126537,-46.569258712187626
210921,2273,-23.45886783036675,-46.58574627053405
210933,2244,-23.49047396142303,-46.60639166527211
210940,2229,-23.47929118373822,-46.56787618526742
210946,2215,-23.491089052455425,-46.5850818805182
210951,2259,-23.471607970858106,-46.580389438802
210955,2228,-23.480055932281125,-46.569816911189314
210960,2254,-23.4851179664147,-46.59617458979163
210970,2218,-23.486735252842077,-46.58408012476191
210984,2247,-23.484890608661765,-46.6021051866524
210994,2226,-23.484632448237065,-46.57191858451151
211002,2274,-23.46824404524207,-46.585030834727874
211022,2220,-23.490745910352587,-46.57794383819032
211029,2217,-23.490335892030725,-46.58028421051419
211053,2276,-23.459902378084543,-46.58449611703253
211060,2242,-23.488133029141903,-46.60765995712386
211080,2269,-23.474592953372944,-46.596153017485136
211082,2221,-23.481978422701832,-46.58058753344108
211102,2279,-23.46048082737028,-46.57585219747245
211107,2249,-23.49108295475793,-46.59518841465175
211139,2206,-23.487076247013697,-46.589872683594
211144,2258,-23.47623536441803,-46.58210664723873
211154,2236,-23.474632525679453,-46.56894074606139
211158,2205,-23.489101697472453,-46.58859076977895
211166,2241,-23.490518793784968,-46.60742305591787
211172,2219,-23.487935688874103,-46.5808627924
211208,2257,-23.47172419594325,-46.58517130919263
211224,2230,-23.48274827338563,-46.56490113044606
211253,2210,-23.48653952622772,-46.57926775506377
211259,2266,-23.47351767860233,-46.59417129378496
211271,2280,-23.454232910352587,-46.57383309103239
211277,2278,-23.463538962259747,-46.58182067485141
211310,2264,-23.463067641410348,-46.57733468803738
211337,2201,-23.48564922814357,-46.59218589286744
211351,2253,-23.479545520399327,-46.596922621847725
211352,2281,-23.44917893415549,-46.57435094932181
211380,2255,-23.47597013183105,-46.59145922384439
211398,2272,-23.46986315459632,-46.58785305259964
211399,2271,-23.468912247420523,-46.58807266436532
211470,2224,-23.481351072998997,-46.567048185815686
211479,2275,-23.465097152256583,-46.590503021857714
211482,2233,-23.47538490091753,-46.564339557591325
211494,2209,-23.485064826913263,-46.58236126674555
211552,2212,-23.494525155981307,-46.58841008381904
211655,2260,-23.469302576551907,-46.57550486934105
211701,2234,-23.476274393968733,-46.56835100557099
211714,2213,-23.49287325284208,-46.58454115751052
211746,2202,-23.493126080212345,-46.59436597807144
211969,2262,-23.46668605023373,-46.57587710713256
212087,2216,-23.494534007655435,-46.5778358295101
212105,2214,-23.49363686955392,-46.58577018151652
212305,2268,-23.468822748542905,-46.59341772967277
212364,2207,-23.485869985284825,-46.59066163474524
212407,2239,-23.483926269699744,-46.60867003954127
212512,2252,-23.479316999999995,-46.5904340471753
213104,2231,-23.47785620260835,-46.56407653052688
213863,2290,-23.54329484225016,-46.63074319149357
223304,2309,-23.477262139332883,-46.60430128074323
223308,2377,-23.45681372078598,-46.632543731750246
223312,2371,-23.46086185567546,-46.619972680131546
223314,2323,-23.502760006989064,-46.57361974332592
223321,2311,-23.467841015263435,-46.60066694685207
223324,2374,-23.456465580904837,-46.62058099668178
223330,2316,-23.462010764197984,-46.59467629700311
223346,2366,-23.429829475245008,-46.59294652605343
223350,2321,-23.44749411991629,-46.58851618260319
223356,2315,-23.463362095475787,-46.59647161656762
223359,2330,-23.48506315903973,-46.61571376879802
223369,2319,-23.4501707149576,-46.58967746502972
223372,2312,-23.464135215101827,-46.60239500444339
223380,2341,-23.456976422701832,-46.61452743381032
223385,2334,-23.48496374049282,-46.61933914432453
223388,2347,-23.46067438550985,-46.60560912600267
223390,2365,-23.424789368085,-46.58054625193439
223395,2375,-23.453922572854754,-46.626135763113865
223403,2372,-23.45903597238433,-46.623704148839465
223419,2367,-23.42308723120199,-46.58728156396795
223422,2306,-23.45244942270184,-46.60149895934556
223437,2313,-23.46520664556529,-46.598497748398685
223440,2340,-23.466900306548325,-46.6161273856765
223442,2360,-23.43534610221769,-46.578029947038885
223452,2344,-23.468783469877145,-46.611286968492166
223457,2322,-23.448542060505503,-46.59796136802471
223463,2356,-23.450087878227205,-46.61104018756212
223464,2352,-23.454506021928545,-46.594345572999
223467,2358,-23.446391134052757,-46.609487837497824
223470,2308,-23.47563293005943,-46.60151528864907
223473,2318,-23.45490508159733,-46.59270606480468
223520,2337,-23.476470349154592,-46.61274240660166
223524,2342,-23.47405079462169,-46.610883853597976
223530,2355,-23.45361336663973,-46.61153344561132
223536,2303,-23.482426557591324,-46.61248519900167
223538,2363,-23.433311843300284,-46.577753833556265
223550,2324,-23.445715237842105,-46.583201266636046
223564,2302,-23.486320954173525,-46.61518780752882
223569,2350,-23.459346031363605,-46.60929309103239
223571,2378,-23.454046078279102,-46.6302284207686
223578,2317,-23.458311199001667,-46.5956613491546
223584,2351,-23.45606480322003,-46.59857348265909
223591,2301,-23.487414496249084,-46.61630002553522
223601,2332,-23.486316464337214,-46.62224366625309
223609,2376,-23.458526276992316,-46.62665931349181
223637,2335,-23.48423112600268,-46.616027463644734
223656,2346,-23.472004872323875,-46.60844051151254
223661,2362,-23.638582820562608,-46.60817566849105
223686,2357,-23.450617445467103,-46.61199536955391
223688,2314,-23.461367857060445,-46.60110519677997
223694,2310,-23.4719444074384,-46.59864459256161
223726,2325,-23.455935,-46.58499675000001
223748,2354,-23.454796226537923,-46.60685576138568
223756,2320,-23.44947679294825,-46.59791907646144
223761,2361,-23.435950742214995,-46.58242683834328
223763,2338,-23.47409516625309,-46.61820614556529
223789,2333,-23.47360894670785,-46.61900230974089
223819,2307,-23.48287504884874,-46.60800472883605
223928,2349,-23.46143505928029,-46.60359485356405
223958,2353,-23.45307568220902,-46.60583416763805
223996,2336,-23.48058427061568,-46.61935382292688
224227,2339,-23.476178378296492,-46.61396224132954
224459,2368,-23.399259736886137,-46.57758416374292
224462,2370,-23.463434818483467,-46.62240014446876
224548,2328,-23.43381641578083,-46.571176402870464
224664,2359,-23.44565748972094,-46.61972975215229
224954,2345,-23.46862347727612,-46.6163016434943
228042,2304,-23.48177109714923,-46.602701847769616
233975,2430,-23.4779980335853,-46.650682027468456
233984,2402,-23.49114306211594,-46.62601868011955
234002,2442,-23.473211060505506,-46.64329769969416
234008,2409,-23.476711756592987,-46.626514454757945
234011,2467,-23.49264691514413,-46.64479634622707
234015,2422,-23.47001485567546,-46.63484579309249
234029,2441,-23.471434582289824,-46.64062326449884
234043,2452,-23.499041510964272,-46.644282319320205
234052,2435,-23.4823915320561,-46.64281243352188
234080,2464,-23.49011863474525,-46.65070318122806
234083,2431,-23.485313776848084,-46.63663488689484
234084,2478,-23.47926294754457,-46.65961198557328
234089,2436,-23.479295395233372,-46.63675926810551
234106,2473,-23.478324496249083,-46.652201413266766
234137,2415,-23.47193716763806,-46.62999953941368
234150,2468,-23.489507419931872,-46.64873015306711
234197,2401,-23.4860583141843,-46.62819903649949
234205,2419,-23.477210014715183,-46.63982846710719
234239,2479,-23.47544698917996,-46.65071650735759
234241,2471,-23.48117042353855,-46.655415131138575
234246,2417,-23.4783963075192,-46.6292237216227
234274,2410,-23.4757673119626,-46.62523433819032
234284,2420,-23.476078906745908,-46.63411838565408
234295,2462,-23.49570711330229,-46.63895326320458
234313,2461,-23.49353250403937,-46.63842778172417
234325,2443,-23.472335179294816,-46.64636526449883
234360,2403,-23.49316940437997,-46.62900954509784
234396,2466,-23.49405945045876,-46.64333926824975
234420,2404,-23.489552640025373,-46.62852859478329
234463,2433,-23.4806576014484,-46.636674914796
234467,2406,-23.488178521784317,-46.62869344463039
234477,2474,-23.47729245045876,-46.65568039454087
234486,2407,-23.48535959449485,-46.624283978908174
234526,2421,-23.47426736081135,-46.63169094754457
234531,2472,-23.476243640313832,-46.65895442102839
234537,2470,-23.48415445322872,-46.64868009824575
234579,2460,-23.491264766864763,-46.63785217623639
234626,2475,-23.481059081597326,-46.64630746073055
234627,2416,-23.479570309740897,-46.62865905773553
234726,2418,-23.470718940879472,-46.63127566403139
234934,2413,-23.486684521784305,-46.64422386663972
235015,2451,-23.50032232672679,-46.64104366534537
235037,2465,-23.491717642174216,-46.64962560348589
235103,2405,-23.49466303719198,-46.62889848542903
235157,2469,-23.484878853453758,-46.64249464126611
235203,2440,-23.475865892867446,-46.64976772522937
235238,2408,-23.48192669608748,-46.62646540521669
235431,2450,-23.499711492094157,-46.63936074992788
236324,2411,-23.47416101610016,-46.62516585290548
236580,2432,-23.486717629753585,-46.63536318304573
237369,2463,-23.490045250612457,-46.64419142885248
238811,2423,-23.469173790178296,-46.63497713128279
263702,2565,-23.486109347919744,-46.66826821319252
263709,2542,-23.491861595620023,-46.65926754509784
263716,2522,-23.50302551457095,-46.656351
263718,2566,-23.482831285042405,-46.67079714723872
263729,2519,-23.50233051501402,-46.65835292379554
263732,2513,-23.51252628781236,-46.65652459893825
263745,2550,-23.50553052178432,-46.66921940743839
263749,2556,-23.49943981998858,-46.67117681783093
263758,2543,-23.484996628368613,-46.66293759616827
263763,2560,-23.494987791563275,-46.67176385068381
263774,2517,-23.506064518177627,-46.666119310577606
263778,2510,-23.51370739463197,-46.65262935449776
263780,2518,-23.508810312539527,-46.66650083042868
263795,2539,-23.49653469164408,-46.65942948695825
263801,2530,-23.501873266476384,-46.66213609485701
263807,2535,-23.49830072439266,-46.64974098750651
263816,2537,-23.49266694338963,-46.649278230509495
263825,2563,-23.4921242514571,-46.67252903941368
263827,2561,-23.492820907582622,-46.67596304287615
263829,2555,-23.49315894754457,-46.66484247835991
263833,2564,-23.486738237923944,-46.67185857276385
263859,2512,-23.512629226758584,-46.66287840966009
263868,2534,-23.496199082434053,-46.65484326395059
263873,2525,-23.50269813044608,-46.64781168151652
263912,2562,-23.48576555759132,-46.67394941548847
